BURDWAN UNIVERSITY (NAME OF COLLEGES),Y,X
ASANSOL GIRLS' COLLEGE,23.685993,86.945282
BANWARILAL BHALOTIA COLLEGE,23.679838,86.996549
BIDHAN CHANDRA COLLEGE,23.239925,88.368837
BURDWAN RAJ COLLEGE,23.239925,87.85076
CHANDRAPUR COLLEGE,23.463705,88.075568
DR.  GOURMOHAN ROY COLLEGE,23.415237,88.110425
DURGAPUR GOVT. COLLEGE,23.542957,87.326717
DURGAPUR WOMEN'S COLLEGE,23.551348,87.297574
GUSKARA MAHAVIDYALAYA,23.495881,87.745899
KALNA COLLEGE,23.220472,88.356346
KATWA COLLEGE,23.650373,88.125195
KAZI NAZRUL ISLAM MAHAVIDYALAYA,23.773685,87.05652
KHANDRA COLLEGE,23.633531,87.224981
KULTI COLLEGE,23.723175,86.855432
M.U.0 WOMEN'S COLLEGE,23.239454,87.853032
MANKAR COLLEGE,23.434981,87.554275
MEMARI COLLEGE,23.167348,88.102825
RANIGANJ GIRLS' COLLEGE,23.630292,87.10942
SHYAMSUNDAR COLLEGE,23.103327,87.868692
TRIVENIDEVI BHALOTIA COLLEGE,23.616811,87.118346
VIVEKANANDA MAHAVIDYALAYA,23.22403,87.860498
MICHAEL MADHUSUDAN MEMORIAL COLLEGE,23.54975,87.311147
DR.  BHUPENDRANATH DUTTA SMRITI MAHAVIDYALAYA,23.258124,87.985976
KANDRA RADHAKANTA  KUNDU MAHAVIDYALAYA,23.729276,87.970104
PANDAVESWAR COLLEGE,23.706275,87.280834
DURGAPUR COLLEGE OF COMMERCE & SCIENCE,23.474594,87.404608
GALSI MAHAVIDYALAYA,23.350571,87.684181
JAMALPUR MAHAVIDYALAYA,23.069875,87.999462
PURBASTHALI COLLEGE,23.442789,88.317693
SIR RASHBEHARI GHOSH MAHAVIDYALAYA,23.442433,88.318532
ACHARYA SUKUMAR SEN MAHAVIDYALAYA,22.96054,87.921717
TEHATTA SADANANDA MAHAVIDYALAYA,23.216301,88.252052
ST. XAVIER'S COLLEGE,23.219089,87.87454
GOVERNMENT GENERAL DEGREE COLLEGE AT,22.584497,88.58146
BANKURA CHRISTIAN COLLEGE,23.231967,87.052204
BANKURA SAMMILAN COLLEGE,23.231967,87.052204
BARJORA COLLEGE,23.429538,87.272841
GOBINDA PRASAD MAHAVIDYALAYA,23.396058,87.108458
JAM INI ROY COLLEGE,23.320647,87.220562
KHATRA ADIBASI MAHAVIDYALAYA,23.00217,86.856668
PANCHMURA MAHAVIDYALAYA,22.9773,87.17227
PANDIT  RAGHUNATH MURMU SMRITI,22.863848,87.005797
RAMANANDA COLLEGE,23.064306,87.325152
SALDIHA COLLEGE,23.135658,86.801797
SONAMUKHI  COLLEGE,23.319775,87.217929
CHATRA RAMAI PANDIT,23.014624,87.517169
SALTORA NETAJI CENTENARY COLLEGE,23.521779,86.941706
INDAS MAHAVIDYALAYA,23.20294,87.598239
PATRASAYER MAHAVIDYALAYA,23.204501,87.526207
CHHATNA CHANDIDAS,23.312384,86.966007
ONDA THANA MAHAVIDYALAYA,23.184456,87.151507
RAIPUR BLOCK MAHAVIDYALAYA,22.797281,86.950232
BIRSHA MUNDA MEMORIAL COLLEGE,22.879984,86.88055
GOVERNMENT GENERAL DEGREE COLLEGE AT,22.810877,88.237354
ABHEDANANDA MAHAVIDYALAYA,23.94877,87.694936
BIRB HUM MAHAVIDYALAYA,23.793658,87.255303
BOLPUR COLLEGE,23.665278,87.693311
CHANDIDAS MAHAVIDYALAYA,23.607722,87.893335
HIRALAL BHAKAT COLLEGE,24.445345,87.842258
KABI NAZRUL COLLEGE,24.445345,87.854407
KRISHNA CHANDRA COLLEGE,22.288106,87.763953
"RAMPURHAT
COLLEGE",24.17288,87.780983
SAMBHUNATH COLLEGE,23.808267,87.798635
SURI VIDYASAGAR COLLEGE,23.898027,87.53325
SAILAJANANDA FALGUNI SMRITI,23.793869,87.254529
PURNIDEVI CHOWDHURY GIRLS COLLEGE,23.668458,87.683398
TURKU HANSDA LAPSA HEM RAM,23.232421,87.861479
KABI JOYDEB MAHAVIDYALAYA,23.668465,87.683433
RAJNAGAR MAHAVIDYALAYA,23.905587,87.533388
ASLEHA GIRLS' COLLEGE,24.172175,87.789899
SOFIA GIRLS' COLLEGE,24.291978,87.837744
LOKEPARA MAHAVIDYALAYA,23.92586,87.827165
AGHORE KAMINI PRAKASH CHANDRA MAHAVIDYALAYA,22.938868,87.690351
BIJOY KRISHNA MAHAVIDYALAYA,23.093297,88.457799
BIJOY NARAYAN MAHAVIDYALAYA,23.093297,88.457799
CHANDERNAGORE GOVT. COLLEGE,22.857538,88.36949
HOOGHLY MOHSIN COLLEGE,22.883335,88.40058
HOOGHLY WOMEN'S COLLEGE,22.900203,88.397067
KABI SUKANTA MAHAVIDYALAYA,22.823021,88.3441493
"KHALISANI
MAHAVIDYALAYA",22.892896,88.373909
NETAJI MAHAVIDYALAYA,22.881268,87.777168
RABINDRA MAHAVIDYALAYA,22.826254,87.976837
RAJA RAMMOHUN ROY MAHAVIDYALAYA,22.712387,87.825378
SARAT CENTENARY COLLEGE,22.966197,88.104236
SREEGOPAL  BANERJE COLLEGE,22.985104,88.381316
SRI RAN1KRISHNA SARADA VIDYA,22.911502,87.648152
TARAKESWAR DEGREE COLLEGE,22.88209,88.005201
"VIVEKANANDA MAHAVIDYALAYA,",23.223891,87.86068
ARAMBAGH  GIRLS' COLLEGE,22.886051,87.780234
POLBA MAHAVIDYALAYA,22.962068,88.309439
KABIKANKAN MUKUNDARAM,22.89154,87.891261
SINGUR GOVT. GENERAL DEGREE,22.810698,88.237484
ACHHRURAM MEMORIAL COLLEGE,23.331926,86.365232
ANANDA MARGA COLLEGE,23.502455,86.073249
BALARAMPUR COLLEGE,23.315562,86.35842
JAGANNATH KISHORE COLLEGE,23.317046,86.368822
MAHATMA GANDHI COLLEGE,23.293673,86.631077
MAN BHUM MAHAVIDYALAYA,23.061654,86.633135
NETAJI SUBHAS ASHRAM MAHAVIDYALAYA,23.191929,85.894637
NISTARINI COLLEGE,23.343637,86.366524
RAGHUNATHPUR COLLEGE,23.531317,86.654605
RMANANDA CENTENARY COLLEGE,23.172095,86.663341
PANCHAKOT MAHAVIDYALAYA,23.647433,86.817495
KASHIPUR MICHAEL MADHUSUDAN MAHAVIDYALAYA,23.437508,86.681807
BARABAZAR BIKRAM TUDU MEMORIAL COLLEGE,23.034596,86.36386
SANTALDHI COLLEGE,23.236368,87.878528
BIKRAMJIT GOSWAMI MEMORIAL COLLEGE,23.41633,86.158248
CHITTO MAHATO MEMORIAL COLLEGE,23.17049,86.532853
BANDWAN MAHAVIDYALAYA,22.874966,86.5050964
